#EventID,Time,latitude,longitude,depth,Author,Catalog,Contributor,ContributorID,MagType,mag,MagAuthor,EventLocationName
20200424_0000099,2020-04-24T13:43:23.6Z,36.95,36.08,7.0,DDA,EMSC-RTS,DDA,850993,ml,2.2,DDA,TURKEY-SYRIA BORDER REGION
20200423_0000156,2020-04-23T20:12:18.9Z,36.01,35.54,6.0,DDA,EMSC-RTS,DDA,850792,ml,2.0,DDA,CENTRAL TURKEY
20200421_0000061,2020-04-21T06:40:54.1Z,37.42,35.88,7.0,DDA,EMSC-RTS,DDA,850094,ml,2.0,DDA,CENTRAL TURKEY
20200421_0000062,2020-04-21T06:36:19.0Z,37.51,36.07,7.0,DDA,EMSC-RTS,DDA,850097,ml,2.1,DDA,CENTRAL TURKEY
20200421_0000039,2020-04-21T04:48:08.4Z,35.89,35.54,20.0,EMSC,EMSC-RTS,EMSC,850065,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200420_0000032,2020-04-20T03:37:03.7Z,37.77,37.45,7.0,DDA,EMSC-RTS,DDA,849767,ml,2.1,DDA,CENTRAL TURKEY
20200419_0000181,2020-04-19T22:48:37.1Z,35.85,35.51,15.0,EMSC,EMSC-RTS,EMSC,849689,ml,3.1,EMSC,NEAR THE COAST OF SYRIA
20200419_0000001,2020-04-19T00:26:30.3Z,38.98,35.79,7.0,DDA,EMSC-RTS,DDA,849426,ml,2.3,DDA,CENTRAL TURKEY
20200418_0000188,2020-04-18T23:41:50.5Z,38.96,35.8,7.0,DDA,EMSC-RTS,DDA,849419,ml,2.1,DDA,CENTRAL TURKEY
20200418_0000185,2020-04-18T23:34:49.2Z,38.98,35.75,7.0,DDA,EMSC-RTS,DDA,849415,m,3.6,DDA,CENTRAL TURKEY
20200418_0000047,2020-04-18T06:28:55.4Z,38.74,38.11,7.0,DDA,EMSC-RTS,DDA,849211,ml,2.5,DDA,EASTERN TURKEY
20200418_0000014,2020-04-18T02:01:16.2Z,35.9,35.44,10.0,EMSC,EMSC-RTS,EMSC,849167,ml,2.4,EMSC,NEAR THE COAST OF SYRIA
20200417_0000198,2020-04-17T23:40:28.0Z,37.44,36.01,2.0,EMSC,EMSC-RTS,EMSC,849130,ml,2.3,EMSC,CENTRAL TURKEY
20200417_0000183,2020-04-17T21:42:35.9Z,35.9,35.45,10.0,EMSC,EMSC-RTS,EMSC,849095,ml,2.6,EMSC,NEAR THE COAST OF SYRIA
20200417_0000157,2020-04-17T16:51:03.0Z,37.54,36.0,7.0,DDA,EMSC-RTS,DDA,849045,ml,2.2,DDA,CENTRAL TURKEY
20200416_0000142,2020-04-16T17:39:25.5Z,35.98,35.7,49.0,EMSC,EMSC-RTS,EMSC,848696,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200416_0000061,2020-04-16T08:52:41.8Z,37.48,35.96,7.0,DDA,EMSC-RTS,DDA,848569,ml,2.7,DDA,CENTRAL TURKEY
20200415_0000141,2020-04-15T17:43:05.8Z,35.9,35.44,12.0,EMSC,EMSC-RTS,EMSC,848369,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200415_0000111,2020-04-15T14:11:53.1Z,35.76,35.49,20.0,EMSC,EMSC-RTS,EMSC,848318,ml,3.7,EMSC,NEAR THE COAST OF SYRIA
20200415_0000094,2020-04-15T12:33:39.5Z,36.06,35.46,7.0,DDA,EMSC-RTS,DDA,848298,ml,2.4,DDA,CENTRAL TURKEY
20200415_0000084,2020-04-15T11:34:32.0Z,35.82,35.47,10.0,EMSC,EMSC-RTS,EMSC,848285,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200415_0000091,2020-04-15T11:34:32.0Z,35.82,35.47,10.0,EMSC,EMSC-RTS,EMSC,848295,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200415_0000077,2020-04-15T10:40:28.8Z,36.19,35.36,6.0,DDA,EMSC-RTS,DDA,848276,ml,2.4,DDA,CENTRAL TURKEY
