Time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T20:45:26.710Z,35.7028333,-117.4775,1.31,3.1,ml,49,55,0.1167,0.15,ci,ci38444407,2019-10-29T20:45:59.850Z,"10km SW of Searles Valley, CA",earthquake,0.14,0.36,0.125,29,reviewed,ci,ci
2019-07-04T20:23:09.930Z,35.6408333,-117.5973333,10.39,3.43,ml,62,40,0.1227,0.15,ci,ci38444263,2019-09-26T14:30:13.040Z,"7km ENE of Ridgecrest, CA",earthquake,0.12,0.28,0.179,46,reviewed,ci,ci
2019-07-04T20:17:36.830Z,35.7,-117.4836667,1.25,3.09,ml,49,47,0.1146,0.13,ci,ci38444231,2019-09-26T14:30:13.040Z,"10km SW of Searles Valley, CA",earthquake,0.13,0.3,0.121,45,reviewed,ci,ci
2019-07-04T20:14:50.340Z,35.6991667,-117.5125,5.75,3.99,mlr,74,23,0.1197,0.15,ci,ci38444215,2019-09-26T14:30:13.040Z,"12km SW of Searles Valley, CA",earthquake,0.11,0.45,0.15,333,reviewed,ci,ci
2019-07-04T20:06:08.250Z,35.6991667,-117.4891667,10.27,3.39,ml,57,47,0.1145,0.13,ci,ci38444159,2019-10-28T14:54:48.530Z,"11km SW of Searles Valley, CA",earthquake,0.11,0.28,0.158,42,reviewed,ci,ci
2019-07-04T19:56:25.890Z,35.6636667,-117.5225,2.15,3.27,ml,18,97,0.09134,0.19,ci,ci37260124,2021-02-19T19:16:12.911Z,"15km ENE of Ridgecrest, CA",earthquake,0.27,0.8,0.113,8,reviewed,ci,ci
2019-07-04T19:56:00.500Z,35.6623333,-117.524,1.49,4.16,mw,81,23,0.09089,0.18,ci,ci38444103,2019-09-26T14:30:12.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.26,,6,reviewed,ci,ci
2019-07-04T19:51:16.980Z,35.71,-117.5561667,2.09,3.35,ml,52,44,0.1107,0.15,ci,ci38444063,2019-09-26T14:30:12.040Z,"15km NE of Ridgecrest, CA",earthquake,0.13,0.28,0.129,37,reviewed,ci,ci
2019-07-04T19:49:04.980Z,35.683,-117.4895,1.04,3.26,ml,51,64,0.09882,0.13,ci,ci38444047,2019-09-26T14:30:12.040Z,"12km SW of Searles Valley, CA",earthquake,0.13,0.31,0.156,46,reviewed,ci,ci
2019-07-04T19:21:32.090Z,35.6715,-117.4788333,5.16,4.5,mw,79,24,0.08589,0.16,ci,ci38443871,2019-09-26T14:30:12.040Z,"13km SSW of Searles Valley, CA",earthquake,0.12,0.39,,4,reviewed,ci,ci
2019-07-04T19:17:58.140Z,35.6268333,-117.601,10.4,3.26,ml,29,49,0.1201,0.19,ci,ci37224620,2019-08-29T19:05:43.477Z,"7km E of Ridgecrest, CA",earthquake,0.23,0.57,0.12,98,reviewed,ci,ci
2019-07-04T19:14:59.490Z,35.6548333,-117.5388333,2.42,3,ml,48,44,0.09245,0.14,ci,ci38443831,2019-10-23T21:40:27.680Z,"13km ENE of Ridgecrest, CA",earthquake,0.12,0.34,0.134,30,reviewed,ci,ci
2019-07-04T19:10:19.820Z,35.694,-117.4901667,1.58,3.29,ml,53,47,0.1097,0.14,ci,ci38443823,2019-09-26T14:30:11.040Z,"11km SW of Searles Valley, CA",earthquake,0.13,0.28,0.115,30,reviewed,ci,ci
2019-07-04T19:01:10.800Z,35.7086667,-117.5565,2.15,3.03,ml,33,58,0.1119,0.2,ci,ci38443759,2019-09-26T14:30:11.040Z,"14km NE of Ridgecrest, CA",earthquake,0.22,0.48,0.1,25,reviewed,ci,ci
2019-07-04T19:00:14.000Z,35.6773333,-117.5523333,5.01,3.14,ml,16,130,0.1429,0.18,ci,ci37231484,2019-10-18T22:25:28.483Z,"13km ENE of Ridgecrest, CA",earthquake,0.65,2.16,0.217,2,reviewed,ci,ci
